week,promo_used
2024-01-01,0.4
2024-01-08,0.108
2024-02-05,0.12
2024-03-04,0.143
2024-03-11,0.238
2024-04-01,0.5
2024-04-08,0.23
2024-05-06,0.234
2024-06-03,0.054
2024-06-10,0.18
2024-06-17,0.217
2024-06-24,0.278
2024-07-01,0.0
2024-07-08,0.27
2024-07-15,0.176
2024-07-22,0.125
2024-07-29,0.0
2024-08-05,0.3
2024-08-12,0.214
2024-08-19,0.136
2024-08-26,0.421
2024-09-02,0.0
2024-09-09,0.29
2024-09-16,0.041
2024-09-23,0.131
2024-09-30,0.051
2024-10-07,0.179
2024-10-14,0.209
2024-10-21,0.224
2024-10-28,0.232
2024-11-04,0.159
2024-12-02,0.167
2024-12-09,0.077
